run,species,mulch,rate,rate.L,rep,count,count.m2,seed,cum.emerg
a,barnyardgrass,HM,0.25,3.175,1,10,1000,25,40
a,barnyardgrass,HM,0.25,3.175,2,10,1000,25,40
a,barnyardgrass,HM,0.25,3.175,3,3,300,25,12
a,barnyardgrass,HM,0.25,3.175,4,5,500,25,20
a,barnyardgrass,HM,0.5,6.35,1,0,0,25,0
a,barnyardgrass,HM,0.5,6.35,2,0,0,25,0
a,barnyardgrass,HM,0.5,6.35,3,0,0,25,0
a,barnyardgrass,HM,0.5,6.35,4,4,400,25,16
a,barnyardgrass,HM,1,12.7,1,1,100,25,4
a,barnyardgrass,HM,1,12.7,2,0,0,25,0
a,barnyardgrass,HM,1,12.7,3,0,0,25,0
a,barnyardgrass,HM,1,12.7,4,0,0,25,0
a,barnyardgrass,HM,1.5,19.05,1,0,0,25,0
a,barnyardgrass,HM,1.5,19.05,2,0,0,25,0
a,barnyardgrass,HM,1.5,19.05,3,0,0,25,0
a,barnyardgrass,HM,1.5,19.05,4,0,0,25,0
a,barnyardgrass,HM,0,0,1,20,2000,25,80
a,barnyardgrass,HM,0,0,2,11,1100,25,44
a,barnyardgrass,HM,0,0,3,21,2100,25,84
a,barnyardgrass,HM,0,0,4,16,1600,25,64
a,oat,HM,0.25,3.175,1,25,2500,25,100
a,oat,HM,0.25,3.175,2,21,2100,25,84
a,oat,HM,0.25,3.175,3,4,400,25,16
a,oat,HM,0.25,3.175,4,8,800,25,32
a,oat,HM,0.5,6.35,1,0,0,25,0
a,oat,HM,0.5,6.35,2,0,0,25,0
a,oat,HM,0.5,6.35,3,0,0,25,0
a,oat,HM,0.5,6.35,4,3,300,25,12
a,oat,HM,1,12.7,1,1,100,25,4
a,oat,HM,1,12.7,2,2,200,25,8
a,oat,HM,1,12.7,3,4,400,25,16
a,oat,HM,1,12.7,4,0,0,25,0
a,oat,HM,1.5,19.05,1,0,0,25,0
a,oat,HM,1.5,19.05,2,0,0,25,0
a,oat,HM,1.5,19.05,3,0,0,25,0
a,oat,HM,1.5,19.05,4,0,0,25,0
a,oat,HM,0,0,1,25,2500,25,100
a,oat,HM,0,0,2,22,2200,25,88
a,oat,HM,0,0,3,25,2500,25,100
a,oat,HM,0,0,4,22,2200,25,88
a,pea,HM,0.25,3.175,1,17,1700,25,68
a,pea,HM,0.25,3.175,2,17,1700,25,68
a,pea,HM,0.25,3.175,3,2,200,25,8
a,pea,HM,0.25,3.175,4,0,0,25,0
a,pea,HM,0.5,6.35,1,0,0,25,0
a,pea,HM,0.5,6.35,2,0,0,25,0
a,pea,HM,0.5,6.35,3,2,200,25,8
a,pea,HM,0.5,6.35,4,1,100,25,4
a,pea,HM,1,12.7,1,0,0,25,0
a,pea,HM,1,12.7,2,0,0,25,0
a,pea,HM,1,12.7,3,0,0,25,0
a,pea,HM,1,12.7,4,0,0,25,0
a,pea,HM,1.5,19.05,1,1,100,25,4
a,pea,HM,1.5,19.05,2,0,0,25,0
a,pea,HM,1.5,19.05,3,0,0,25,0
a,pea,HM,1.5,19.05,4,0,0,25,0
a,pea,HM,0,0,1,21,2100,25,84
a,pea,HM,0,0,2,15,1500,25,60
a,pea,HM,0,0,3,17,1700,25,68
a,pea,HM,0,0,4,18,1800,25,72
b,barnyardgrass,HM,1,12.7,1,0,0,25,0
b,barnyardgrass,HM,1,12.7,2,0,0,25,0
