run,mulch,rate,rate.L,rep,subsample,mPa
a,HM,0.25,3.175,1,1,0.829029
a,HM,0.25,3.175,1,2,0.5741
a,HM,0.25,3.175,1,3,0.882055
a,HM,0.25,3.175,2,1,0.514957
a,HM,0.25,3.175,2,2,0.519036
a,HM,0.25,3.175,2,3,0.404827
a,HM,0.25,3.175,3,1,0.294698
a,HM,0.25,3.175,3,2,0.506799
a,HM,0.25,3.175,3,3,0.484365
a,HM,0.25,3.175,4,1,0.349763
a,HM,0.25,3.175,4,2,0.551666
a,HM,0.25,3.175,4,3,0.668934
a,HM,0.5,6.35,1,1,0.559824
a,HM,0.5,6.35,1,2,1.030933
a,HM,0.5,6.35,1,3,0.847384
a,HM,0.5,6.35,2,1,0.668934
a,HM,0.5,6.35,2,2,0.28756
a,HM,0.5,6.35,2,3,0.570021
a,HM,0.5,6.35,3,1,0.6465
a,HM,0.5,6.35,3,2,1.142082
a,HM,0.5,6.35,3,3,1.061525
a,HM,0.5,6.35,4,1,0.261047
a,HM,0.5,6.35,4,2,0.618968
a,HM,0.5,6.35,4,3,0.453774
a,HM,1,12.7,1,1,0.761728
a,HM,1,12.7,1,2,1.750853
a,HM,1,12.7,1,3,0.893271
a,HM,1,12.7,2,1,0.974849
a,HM,1,12.7,2,2,1.586678
a,HM,1,12.7,2,3,1.613191
a,HM,1,12.7,3,1,2.235218
a,HM,1,12.7,3,2,0.972809
a,HM,1,12.7,3,3,1.686611
a,HM,1,12.7,4,1,1.672335
a,HM,1,12.7,4,2,1.533653
a,HM,1,12.7,4,3,1.539771
a,HM,1.5,19.05,1,1,1.984368
a,HM,1.5,19.05,1,2,2.485048
a,HM,1.5,19.05,1,3,2.535015
a,HM,1.5,19.05,2,1,2.468733
a,HM,1.5,19.05,2,2,3.535356
a,HM,1.5,19.05,2,3,3.899395
a,HM,1.5,19.05,3,1,2.846028
a,HM,1.5,19.05,3,2,2.020058
a,HM,1.5,19.05,3,3,2.942901
a,HM,1.5,19.05,4,1,3.140726
a,HM,1.5,19.05,4,2,1.351124
a,HM,1.5,19.05,4,3,2.22706
b,HM,0.25,3.175,1,1,0.169273
b,HM,0.25,3.175,1,2,0.194766
b,HM,0.25,3.175,1,3,0.203943
b,HM,0.25,3.175,2,1,0.779063
b,HM,0.25,3.175,2,2,0.780083
b,HM,0.25,3.175,2,3,0.780083
b,HM,0.25,3.175,3,1,0.224338
b,HM,0.25,3.175,3,2,0.134603
b,HM,0.25,3.175,3,3,0.028552
b,HM,0.25,3.175,4,1,0.28858
b,HM,0.25,3.175,4,2,0.221278
b,HM,0.25,3.175,4,3,0.308974
b,HM,0.5,6.35,1,1,0.628145
b,HM,0.5,6.35,1,2,0.57614
b,HM,0.5,6.35,1,3,0.544528
b,HM,0.5,6.35,2,1,0.535351
b,HM,0.5,6.35,2,2,0.700545
b,HM,0.5,6.35,2,3,0.328349
b,HM,0.5,6.35,3,1,0.594495
b,HM,0.5,6.35,3,2,0.676072
b,HM,0.5,6.35,3,3,0.607751
b,HM,0.5,6.35,4,1,0.956494
b,HM,0.5,6.35,4,2,0.482326
b,HM,0.5,6.35,4,3,0.416044
b,HM,0.75,9.525,1,1,0.973829
b,HM,0.75,9.525,1,2,0.808635
b,HM,0.75,9.525,1,3,1.453096
b,HM,0.75,9.525,2,1,1.029913
b,HM,0.75,9.525,2,2,1.500003
b,HM,0.75,9.525,2,3,2.12101
b,HM,0.75,9.525,3,1,1.227738
b,HM,0.75,9.525,3,2,0.93304
b,HM,0.75,9.525,3,3,0.818832
b,HM,0.75,9.525,4,1,0.639362
b,HM,0.75,9.525,4,2,0.625086
b,HM,0.75,9.525,4,3,0.819852
b,HM,1,12.7,1,1,2.960236
b,HM,1,12.7,1,2,2.250514
b,HM,1,12.7,1,3,2.98369
b,HM,1,12.7,2,1,2.404491
b,HM,1,12.7,2,2,2.450378
b,HM,1,12.7,2,3,1.305237
b,HM,1,12.7,3,1,1.842627
b,HM,1,12.7,3,2,1.22162
b,HM,1,12.7,3,3,0.919784
b,HM,1,12.7,4,1,2.960236
b,HM,1,12.7,4,2,1.668256
b,HM,1,12.7,4,3,2.704287
c,HM,0.25,3.175,1,1,0.279402
c,HM,0.25,3.175,1,2,0.279402
c,HM,0.25,3.175,1,3,0.163155
c,HM,0.25,3.175,2,1,0.264106
c,HM,0.25,3.175,2,2,0.183549
c,HM,0.25,3.175,2,3,0.082597
c,HM,0.25,3.175,3,1,0.084636
c,HM,0.25,3.175,3,2,0.170293
c,HM,0.25,3.175,3,3,0.117267
c,HM,0.25,3.175,4,1,0.410946
c,HM,0.25,3.175,4,2,0.078518
c,HM,0.25,3.175,4,3,0.425222
c,HM,0.5,6.35,1,1,0.347723
c,HM,0.5,6.35,1,2,0.342625
c,HM,0.5,6.35,1,3,0.367098
c,HM,0.5,6.35,2,1,0.453774
c,HM,0.5,6.35,2,2,0.512917
c,HM,0.5,6.35,2,3,0.264106
c,HM,0.5,6.35,3,1,0.667914
c,HM,0.5,6.35,3,2,0.35996
c,HM,0.5,6.35,3,3,0.375256
c,HM,0.5,6.35,4,1,0.438478
c,HM,0.5,6.35,4,2,0.232495
c,HM,0.5,6.35,4,3,1.045209
c,HM,0.75,9.525,1,1,1.130865
c,HM,0.75,9.525,1,2,0.811694
c,HM,0.75,9.525,1,3,1.187969
c,HM,0.75,9.525,2,1,1.243034
c,HM,0.75,9.525,2,2,1.310335
c,HM,0.75,9.525,2,3,1.310335
c,HM,0.75,9.525,3,1,1.496943
c,HM,0.75,9.525,3,2,1.502042
c,HM,0.75,9.525,3,3,1.238955
c,HM,0.75,9.525,4,1,1.634605
c,HM,0.75,9.525,4,2,1.820193
c,HM,0.75,9.525,4,3,0.872877
c,HM,1,12.7,1,1,1.029913
c,HM,1,12.7,1,2,1.029913
c,HM,1,12.7,1,3,1.591777
c,HM,1,12.7,2,1,1.65296
